code	inn	target	inn_stem	resolved_by	support	confidence	n_abstracts	dois	ncts	spellings	target_how	target_votes	venues
TST001	osemitamab	CLDN18.2	mab	code(inn)+inn(code)	cooc+ctgov+repeat+trial	high	3	10.1158/1538-7445.am2024-2535;10.1200/jco.2023.41.4_suppl.tps476;10.1200/jco.2024.42.16_suppl.4048	NCT06093425	TST001	anti-X	1/2	aacr-2024|asco-2023|asco-2024
TT-00420	tinengotinib	FGFR	tinib	inn(code)	ctgov+repeat+trial	high	2	10.1200/jco.2023.41.4_suppl.539;10.1200/jco.2024.42.3_suppl.473	NCT03654547;NCT04742959;NCT04919642;NCT05253053	TT-00420	X inhibitor	3/5	asco-2023|asco-2024
TT3A	bortezomib	MCL-1	zomib	inn(code)	none	unsupported	1	10.1200/jco.2023.41.16_suppl.8059		TT3A	X inhibitor	2/4	asco-2023
TT3B	lenalidomide	IKZF1	domide	inn(code)	none	unsupported	1	10.1200/jco.2023.41.16_suppl.8059		TT3B	X inhibitor	1/7	asco-2023
UCB6114	ginisortamab	GREMLIN-1	mab	inn(code)	ctgov+trial	high	1	10.1158/1538-7445.am2023-ct094	NCT04393298	UCB6114	anti-X	4/4	aacr-2023
VAY736	ianalumab		umab	inn(code)	ctgov	medium	1	10.1158/1538-7445.am2023-ct021	NCT05124925	VAY736		0/0	aacr-2023
VB-111	obadenovec		adenovec	inn(code)	ctgov+journal+trial	high	1	10.1200/jco.2023.41.16_suppl.5505	NCT03398655;NCT04406272	VB-111		0/0	asco-2023
VERU-111	sabizabulin		bulin	inn(code)	ctgov+trial	high	1	10.1158/1538-7445.am2023-1670	NCT04842747;NCT04844749	VERU-111		0/0	aacr-2023
VIP152	enitociclib	CDK9	ciclib	inn(code)	ctgov+trial	high	1	10.1158/1538-7445.am2023-1558	NCT05371054	VIP152	X inhibitor	5/5	aacr-2023
VX-970	berzosertib	ATR	sertib	inn(code)	cooc+ctgov+trial	high	1	10.1158/1538-7445.am2024-7171	NCT02567422;NCT02589522;NCT02627443;NCT03641313	VX-970	X inhibitor	14/16	aacr-2024
WEEKS-0	ipilimumab	CTLA-4	umab	inn(code)	none	unsupported	1	10.1200/jco.2023.41.16_suppl.9584		WEEKS-0	X inhibitor+anti-X	15/39	asco-2023
XL092	zanzalintinib	VEGFR	tinib	inn(code)	ctgov+repeat+trial	high	3	10.1200/jco.2024.42.16_suppl.tps3634;10.1200/jco.2024.42.16_suppl.tps4611;10.1200/jco.2024.42.3_suppl.tps229	NCT03337698;NCT06082167;NCT06191796;NCT06571734	XL092	targeting X	2/4	asco-2024
XL184	cabozantinib	VEGF	tinib	inn(code)	cooc+ctgov+trial	high	1	10.1158/1538-7445.am2024-4555	NCT01834651;NCT01865747;NCT01866293;NCT01896479	XL184	X-directed	4/18	aacr-2024
XMAB14045	vibecotamab	CD3-CD123	mab	inn(code)	ctgov	medium	1	10.1200/jco.2023.41.16_suppl.tps7076	NCT05285813	XMAB14045	X bispecific	3/3	asco-2023
XMAB20717	vudalimab	PD-L1	limab	code(inn)	ctgov+trial	high	1	10.1200/jco.2023.41.16_suppl.tps4184	NCT05005728;NCT05032040;NCT05733351;NCT05900648	XMAB20717	X inhibitor	2/4	asco-2023
YES-81	bevacizumab	VEGF	zumab	inn(code)	none	unsupported	1	10.1200/jco.2024.42.3_suppl.105		YES-81	X inhibitor+anti-X	7/16	asco-2024
ZGJAK006	ruxolitinib	JAK	tinib	inn(code)	none	unsupported	1	10.1200/jco.2024.42.16_suppl.e18527		ZGJAK006	X inhibitor	12/32	asco-2024
