primary	aliases	query_terms	n_approvals	first_approval	last_approval	codes	code_sources	codes_validated	n_studies	fih_date	fih_nct	fih_phase	fih_in_title	fih_via	fih_sponsor	inn_only_fih_date	inn_only_nct	months_gained_by_code	fih_title_only_date	fih_no_platform_filter_date	fih_corpus_internal_date	confidence	external_only_codes
darolutamide	darolutamide|nubeqa	darolutamide|nubeqa	1	2025-06-03	2025-06-03	BAY-1841788|BAY1841788|ODM-201|ODM201	BAY-1841788:ctgov+ctloc:strong|BAY1841788:ctgov+ctloc:strong|ODM-201:conf+ctgov:strong|ODM201:ctgov:strong	BAY-1841788|BAY1841788|ODM-201|ODM201	107	2011-03	NCT01317641	PHASE1;PHASE2	1	code	Orion Corporation, Orion Pharma	2014-09-12	NCT02200614	42	2011-03	2011-03	2011-03	high	ODM201
taletrectinib	ibtrozi|taletrectinib	ibtrozi|taletrectinib	1	2025-06-11	2025-06-11	AB-106|DS-6051B	AB-106:ctgov:strong|DS-6051B:ctgov:strong	AB-106|DS-6051B	12	2014-09	NCT02279433	PHASE1	1	code	Nuvation Bio Inc.	2021-09-01	NCT04919811	84	2014-09	2014-09	2021-09-01	high	AB-106|DS-6051B
mitomycin intravesical solution	mitomycin|mitomycin intravesical solution|zusduri	mitomycin|zusduri	1	2025-06-12	2025-06-12	NSC-26980|UGN-101|UGN-102|UGN-103|UGN-104	NSC-26980:ctgov:strong|UGN-101:ctgov:strong|UGN-102:ctgov:strong|UGN-103:ctgov:strong|UGN-104:ctgov:strong	NSC-26980|UGN-101|UGN-102|UGN-103|UGN-104	242	1991-09	NCT00002490	PHASE3	0	inn	Medical Research Council	1991-09	NCT00002490	0	1992-11	1991-09	1991-09	low	NSC-26980|UGN-101|UGN-102|UGN-103|UGN-104
tafasitamab-cxix	monjuvi|tafasitamab	monjuvi|tafasitamab	1	2025-06-18	2025-06-18	INCMOR00208|MOR-00208|MOR-208|MOR00208|MOR208|XMAB-5574|XMAB5574	INCMOR00208:ctgov:strong|MOR-00208:ctgov:strong|MOR-208:ctgov:strong|MOR00208:ctgov:strong|MOR208:ctgov:strong|XMAB-5574:ctgov:strong|XMAB5574:ctgov:strong	INCMOR00208|MOR-00208|MOR-208|MOR00208|MOR208|XMAB-5574|XMAB5574	52	2010-09	NCT01161511	PHASE1	0	code	Xencor, Inc.	2016-03-29	NCT02399085	66	2013-04	2010-09	2016-03-29	medium	INCMOR00208|MOR-00208|MOR-208|MOR00208|MOR208|XMAB-5574|XMAB5574
sunvozertinib	sunvozertinib|zegfrovy	sunvozertinib|zegfrovy	1	2025-07-02	2025-07-02	DZD9008	DZD9008:conf+ctgov+ctloc:strong	DZD9008	23	2019-07-09	NCT03974022	PHASE1;PHASE2	1	inn	Dizal Pharmaceuticals	2019-07-09	NCT03974022	0	2019-07-09	2019-07-09	2019-07-09	high	
linvoseltamab-gcpt	linvoseltamab|lynozyfic	linvoseltamab|lynozyfic	1	2025-07-02	2025-07-02	REGN-5458|REGN5458	REGN-5458:ctgov:strong|REGN5458:conf+ctgov:strong	REGN-5458|REGN5458	22	2019-01-23	NCT03761108	PHASE1;PHASE2	1	inn	Regeneron Pharmaceuticals	2019-01-23	NCT03761108	0	2019-01-23	2019-01-23	2019-01-23	high	REGN-5458
dordaviprone	dordaviprone|modeyso	dordaviprone|modeyso	1	2025-08-06	2025-08-06	ONC-201|ONC201|TIC10	ONC-201:ctgov:strong|ONC201:conf+ctgov+jrnl:strong|TIC10:conf:strong	ONC-201|ONC201|TIC10	27	2014-01	NCT02038699	PHASE1;PHASE2	1	code	Jazz Pharmaceuticals	2016-01	NCT02525692	24	2014-01	2014-01	2014-01	high	ONC-201
zongertinib	hernexeos|zongertinib	hernexeos|zongertinib	2	2025-08-08	2026-02-26				18	2021-07-02	NCT04886804	PHASE1	1	inn	Boehringer Ingelheim	2021-07-02	NCT04886804	0	2021-07-02	2021-07-02	2021-07-02	high	
gemcitabine intravesical system	gemcitabine|gemcitabine intravesical system|inlexzo	gemcitabine|inlexzo	1	2025-09-09	2025-09-09	FF-10832|FF10832|IOP-003|LY-188011|LY188011|NSC-613327|TAR-200	FF-10832:conf+ctgov:strong|FF10832:ctgov:strong|IOP-003:ctloc:strong|LY-188011:ctgov:strong|LY188011:ctgov:strong|NSC-613327:ctgov:strong|TAR-200:ctgov:strong	FF-10832|FF10832|IOP-003|LY-188011|LY188011|NSC-613327|TAR-200	408	1995-02	NCT00001431	PHASE1	1	inn	National Cancer Institute (NCI)	1995-02	NCT00001431	0	1995-02	1995-02	1995-02	high	FF10832|LY-188011|LY188011|NSC-613327|TAR-200
selumetinib	koselugo|selumetinib	koselugo|selumetinib	2	2025-09-10	2025-11-19	ARRY-142866|ARRY-142886|AZD-6244|AZD6244|MK-5618	ARRY-142866:ctgov:strong|ARRY-142886:ctgov:strong|AZD-6244:ctgov:strong|AZD6244:conf+ctgov:strong|MK-5618:ctgov:strong	ARRY-142866|ARRY-142886|AZD-6244|AZD6244|MK-5618	130	2004-06	NCT00085787	PHASE1	1	code	Array Biopharma, now a wholly owned subsidiary of Pfizer	2007-11	NCT00553332	41	2004-06	2004-06	2006-07	high	ARRY-142866|ARRY-142886|AZD-6244|MK-5618
